Duty No,Sign On Time,Sign On Loc,Sign Off Loc,Sign Off Time,Driving Hrs,Duty Hrs,Same Jurisdiction,Rake Num,Start Stn,Start Time,End Stn,End Time,Service Duration,Break,StepBack Rake
419,,,,,,,,325,NECC,05:47,YB UP,06:25,38,0,No StepBack
419,,,,,,,,325,YB UP,06:25,DW UP,07:21,56,35,No StepBack
419,,,,,,,,309,DW DN,07:56,YB DN,08:52,56,0,No StepBack
419,,,,,,,,309,YB DN,08:52,YB UP,10:24,92,59,336
419,,,,,,,,305,YB DN,11:23,YB UP,12:10,47,0,301
,,,,,,,,,,,,,
216,05:16,NFD,DW DN,12:06,04:53,06:50,Yes,326,NFD,05:41,DW DN,06:06,25,0,No StepBack
216,,,,,,,,326,DW DN,06:06,YB DN,07:02,56,0,No StepBack
216,,,,,,,,326,YB DN,07:02,YB UP,07:54,52,50,312
216,,,,,,,,328,YB UP,08:44,DW UP,09:40,56,0,No StepBack
216,,,,,,,,328,DW UP,09:40,DW DN,10:32,52,32,317
216,,,,,,,,327,DW UP,11:04,DW DN,11:56,52,0,318
,,,,,,,,,,,,,
420,05:27,YB UP,YB UP,11:36,04:13,06:09,Yes,301,YB UP,05:42,DW UP,06:38,56,33,No StepBack
420,,,,,,,,324,DW DN,07:11,YB DN,08:07,56,0,No StepBack
420,,,,,,,,324,YB DN,08:07,YB UP,09:40,93,58,301
420,,,,,,,,330,YB DN,10:38,YB UP,11:26,48,0,332
,,,,,,,,,,,,,
421,05:33,YBD,YB UP,12:48,05:16,07:15,Yes,327,YBD,05:58,VASI,06:37,39,5,No StepBack
421,,,,,,,,327,VASI,06:42,YB UP,06:58,16,0,No StepBack
421,,,,,,,,327,YB UP,06:58,DW UP,07:54,56,34,No StepBack
421,,,,,,,,333,DW UP,08:28,DW DN,09:20,52,0,316
421,,,,,,,,316,DW DN,09:20,YB DN,10:16,56,50,No StepBack
421,,,,,,,,313,YB DN,11:06,YB UP,12:38,92,0,328
,,,,,,,,,,,,,
217,05:37,NFD,DW UP,13:05,04:56,07:28,Yes,328,NFD,06:02,DW DN,06:27,25,0,No StepBack
217,,,,,,,,328,DW DN,06:27,YB DN,07:23,56,53,No StepBack
217,,,,,,,,331,YB UP,08:16,DW UP,09:12,56,30,No StepBack
217,,,,,,,,330,DW DN,09:42,YB DN,10:38,56,34,No StepBack
217,,,,,,,,308,YB DN,11:12,YB UP,11:59,47,0,305
217,,,,,,,,305,YB UP,11:59,DW UP,12:55,56,0,No StepBack
,,,,,,,,,,,,,
218,05:42,NFD,DW UP,13:11,04:57,07:29,Yes,330,NFD,06:07,DW DN,06:32,25,0,No StepBack
218,,,,,,,,330,DW DN,06:32,YB DN,07:28,56,0,No StepBack
218,,,,,,,,330,YB DN,07:28,YB UP,08:16,48,50,331
218,,,,,,,,303,YB UP,09:06,DW UP,10:02,56,30,No StepBack
218,,,,,,,,317,DW DN,10:32,YB DN,11:28,56,37,No StepBack
218,,,,,,,,334,YB UP,12:05,DW UP,13:01,56,0,No StepBack
,,,,,,,,,,,,,
219,05:55,DSTO DN,DW UP,13:16,04:55,07:21,Yes,331,DSTO DN,06:20,DSTO,06:25,5,0,No StepBack
219,,,,,,,,331,DSTO,06:25,DW DN,06:43,18,0,No StepBack
219,,,,,,,,331,DW DN,06:43,YB DN,07:39,56,0,No StepBack
219,,,,,,,,331,YB DN,07:39,YB UP,08:27,48,50,313
219,,,,,,,,320,YB UP,09:17,DW UP,10:13,56,30,No StepBack
219,,,,,,,,335,DW DN,10:43,YB DN,11:39,56,31,No StepBack
219,,,,,,,,301,YB UP,12:10,DW UP,13:06,56,0,No StepBack
,,,,,,,,,,,,,
422,06:05,YB UP,YB UP,13:50,05:22,07:45,Yes,309,YB UP,06:20,DW UP,07:16,56,34,No StepBack
422,,,,,,,,305,DW DN,07:50,YB DN,08:46,56,54,No StepBack
422,,,,,,,,318,YB DN,09:40,YB UP,10:30,50,0,311
422,,,,,,,,311,YB UP,10:30,DW UP,11:26,56,30,No StepBack
422,,,,,,,,318,DW DN,11:56,YB DN,12:52,56,0,No StepBack
422,,,,,,,,318,YB DN,12:52,YB UP,13:40,48,0,336
,,,,,,,,,,,,,
423,06:05,YBD,YB DN,14:03,05:24,07:58,Yes,332,YBD,06:30,YB UP,08:22,112,69,314
423,,,,,,,,327,YB DN,09:31,YB UP,10:19,48,0,318
423,,,,,,,,318,YB UP,10:19,DW UP,11:15,56,50,No StepBack
423,,,,,,,,306,DW UP,12:05,DW DN,12:57,52,0,330
423,,,,,,,,330,DW DN,12:57,YB DN,13:53,56,0,No StepBack
,,,,,,,,,,,,,
424,06:08,YBD,YB UP,14:07,05:26,07:59,Yes,333,YBD,06:33,YB UP,07:42,69,0,326
424,,,,,,,,326,YB UP,07:42,DW UP,08:38,56,79,No StepBack
424,,,,,,,,335,DW UP,09:57,DW DN,10:49,52,0,304
424,,,,,,,,304,DW DN,10:49,YB DN,11:45,56,39,No StepBack
424,,,,,,,,311,YB DN,12:24,YB UP,13:57,93,0,315
,,,,,,,,,,,,,
425,06:21,NECC DN,YB UP,13:11,04:28,06:50,Yes,329,NECC DN,06:46,NECC,07:11,25,0,No StepBack
425,,,,,,,,329,NECC,07:11,YB UP,07:49,38,0,No StepBack
425,,,,,,,,329,YB UP,07:49,DW UP,08:45,56,74,No StepBack
425,,,,,,,,314,DW DN,09:59,YB DN,10:55,56,33,No StepBack
