,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
280,705,PBGW DN,11:33,IPE,12:32,DN,59
281,710,PBGW UP,11:34,MKPR,11:49,UP,15
282,718,IPE,11:34,PBGW UP,12:34,UP,60
283,720,KKDA UP,11:37,IPE,11:44,UP,7
284,709,MKPR,11:38,PBGW DN,11:53,DN,15
285,719,KKDA DN,11:39,MKPR,12:16,DN,37
286,702,MKPR,11:40,KKDA UP,12:17,UP,37
287,721,IPE,11:42,KKDA DN,11:49,DN,7
288,701,PBGW DN,11:43,IPE,12:42,DN,59
289,720,IPE,11:44,PBGW UP,12:44,UP,60
290,712,PBGW UP,11:44,MKPR,11:59,UP,15
291,722,KKDA UP,11:47,IPE,11:54,UP,7
292,711,MKPR,11:48,PBGW DN,12:03,DN,15
293,721,KKDA DN,11:49,MKPR,12:26,DN,37
294,710,MKPR,11:50,KKDA UP,12:27,UP,37
295,715,IPE,11:52,KKDA DN,11:59,DN,7
296,709,PBGW DN,11:53,IPE,12:52,DN,59
297,704,PBGW UP,11:54,MKPR,12:09,UP,15
298,722,IPE,11:54,PBGW UP,12:54,UP,60
299,724,KKDA UP,11:57,IPE,12:04,UP,7
300,703,MKPR,11:57,PBGW DN,12:12,DN,15
301,715,KKDA DN,11:59,MKPR,12:36,DN,37
302,712,MKPR,12:00,KKDA UP,12:37,UP,37
303,723,IPE,12:02,KKDA DN,12:09,DN,7
304,711,PBGW DN,12:03,IPE,13:02,DN,59
305,724,IPE,12:04,PBGW UP,13:04,UP,60
306,708,PBGW UP,12:04,MKPR,12:19,UP,15
307,706,KKDA UP,12:07,IPE,12:14,UP,7
308,713,MKPR,12:07,PBGW DN,12:22,DN,15
309,723,KKDA DN,12:09,MKPR,12:46,DN,37
310,704,MKPR,12:10,KKDA UP,12:47,UP,37
311,703,PBGW DN,12:12,IPE,13:11,DN,59
312,707,IPE,12:12,KKDA DN,12:19,DN,7
313,714,PBGW UP,12:14,MKPR,12:29,UP,15
314,706,IPE,12:14,PBGW UP,13:14,UP,60
315,719,MKPR,12:17,PBGW DN,12:32,DN,15
316,702,KKDA UP,12:17,IPE,12:24,UP,7
317,707,KKDA DN,12:19,MKPR,12:56,DN,37
318,708,MKPR,12:20,KKDA UP,12:57,UP,37
319,717,IPE,12:22,KKDA DN,12:29,DN,7
320,713,PBGW DN,12:22,IPE,13:21,DN,59
321,702,IPE,12:24,PBGW UP,13:24,UP,60
322,716,PBGW UP,12:24,MKPR,12:39,UP,15
323,721,MKPR,12:27,PBGW DN,12:42,DN,15
324,710,KKDA UP,12:27,IPE,12:34,UP,7
325,717,KKDA DN,12:29,MKPR,13:06,DN,37
326,714,MKPR,12:30,KKDA UP,13:07,UP,37
327,719,PBGW DN,12:32,IPE,13:31,DN,59
328,705,IPE,12:32,KKDA DN,12:39,DN,7
329,718,PBGW UP,12:34,MKPR,12:49,UP,15
330,710,IPE,12:34,PBGW UP,13:34,UP,60
331,712,KKDA UP,12:37,IPE,12:44,UP,7
332,715,MKPR,12:37,PBGW DN,12:52,DN,15
333,705,KKDA DN,12:39,MKPR,13:16,DN,37
334,716,MKPR,12:40,KKDA UP,13:17,UP,37
335,701,IPE,12:42,KKDA DN,12:49,DN,7
336,721,PBGW DN,12:42,IPE,13:41,DN,59
337,720,PBGW UP,12:44,MKPR,12:59,UP,15
338,712,IPE,12:44,PBGW UP,13:44,UP,60
339,704,KKDA UP,12:47,IPE,12:54,UP,7
340,723,MKPR,12:47,PBGW DN,13:02,DN,15
341,701,KKDA DN,12:49,MKPR,13:26,DN,37
342,718,MKPR,12:50,KKDA UP,13:27,UP,37
343,709,IPE,12:52,KKDA DN,12:59,DN,7
344,715,PBGW DN,12:52,IPE,13:51,DN,59
345,722,PBGW UP,12:54,MKPR,13:09,UP,15
346,704,IPE,12:54,PBGW UP,13:54,UP,60
347,708,KKDA UP,12:57,IPE,13:04,UP,7
348,707,MKPR,12:57,PBGW DN,13:12,DN,15
349,709,KKDA DN,12:59,MKPR,13:36,DN,37
350,720,MKPR,13:00,KKDA UP,13:37,UP,37
351,723,PBGW DN,13:02,IPE,14:01,DN,59
352,711,IPE,13:02,KKDA DN,13:09,DN,7
353,724,PBGW UP,13:04,MKPR,13:19,UP,15
354,708,IPE,13:04,PBGW UP,14:04,UP,60
355,717,MKPR,13:07,PBGW DN,13:22,DN,15
356,714,KKDA UP,13:07,IPE,13:14,UP,7
357,711,KKDA DN,13:09,MKPR,13:46,DN,37
358,722,MKPR,13:10,KKDA UP,13:47,UP,37
359,703,IPE,13:11,KKDA DN,13:17,DN,6
360,707,PBGW DN,13:12,IPE,14:11,DN,59
361,714,IPE,13:14,PBGW UP,14:14,UP,60
362,706,PBGW UP,13:14,MKPR,13:29,UP,15
363,703,KKDA DN,13:17,MKPR,13:55,DN,38
364,716,KKDA UP,13:17,IPE,13:24,UP,7
365,705,MKPR,13:17,PBGW DN,13:32,DN,15
366,724,MKPR,13:20,KKDA UP,13:57,UP,37
367,713,IPE,13:21,KKDA DN,13:27,DN,6
368,717,PBGW DN,13:22,IPE,14:21,DN,59
369,716,IPE,13:24,PBGW UP,14:24,UP,60
370,702,PBGW UP,13:24,MKPR,13:39,UP,15
371,718,KKDA UP,13:27,IPE,13:34,UP,7
372,713,KKDA DN,13:27,MKPR,14:05,DN,38
373,701,MKPR,13:27,PBGW DN,13:42,DN,15
374,706,MKPR,13:30,KKDA UP,14:07,UP,37
375,719,IPE,13:31,KKDA DN,13:37,DN,6
376,705,PBGW DN,13:32,IPE,14:31,DN,59
377,710,PBGW UP,13:34,MKPR,13:49,UP,15
378,718,IPE,13:34,PBGW UP,14:34,UP,60
379,709,MKPR,13:37,PBGW DN,13:52,DN,15
380,720,KKDA UP,13:37,IPE,13:44,UP,7
381,719,KKDA DN,13:37,MKPR,14:15,DN,38
382,702,MKPR,13:40,KKDA UP,14:17,UP,37
383,721,IPE,13:41,KKDA DN,13:47,DN,6
384,701,PBGW DN,13:42,IPE,14:41,DN,59
385,720,IPE,13:44,PBGW UP,14:44,UP,60
386,712,PBGW UP,13:44,MKPR,13:59,UP,15
387,722,KKDA UP,13:47,IPE,13:54,UP,7
388,721,KKDA DN,13:47,MKPR,14:25,DN,38
389,711,MKPR,13:47,PBGW DN,14:02,DN,15
390,710,MKPR,13:50,KKDA UP,14:27,UP,37
391,715,IPE,13:51,KKDA DN,13:57,DN,6
392,709,PBGW DN,13:52,IPE,14:51,DN,59
393,704,PBGW UP,13:54,MKPR,14:09,UP,15
394,722,IPE,13:54,PBGW UP,14:54,UP,60
