,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
337,708,PBGW UP,18:04,MKPR,18:19,UP,15
366,724,IPE,18:04,PBGW UP,19:04,UP,60
370,706,KKDA UP,18:07,IPE,18:14,UP,7
389,704,MKPR,18:10,KKDA UP,18:47,UP,37
371,706,IPE,18:14,PBGW UP,19:14,UP,60
342,714,PBGW UP,18:14,MKPR,18:29,UP,15
375,702,KKDA UP,18:17,IPE,18:24,UP,7
394,708,MKPR,18:20,KKDA UP,18:57,UP,37
376,702,IPE,18:24,PBGW UP,19:24,UP,60
347,716,PBGW UP,18:24,MKPR,18:39,UP,15
380,710,KKDA UP,18:27,IPE,18:34,UP,7
399,714,MKPR,18:30,KKDA UP,19:07,UP,37
352,718,PBGW UP,18:34,MKPR,18:49,UP,15
381,710,IPE,18:34,PBGW UP,19:34,UP,60
385,712,KKDA UP,18:37,IPE,18:44,UP,7
404,716,MKPR,18:40,KKDA UP,19:17,UP,37
386,712,IPE,18:44,PBGW UP,19:44,UP,60
357,720,PBGW UP,18:44,MKPR,18:59,UP,15
390,704,KKDA UP,18:47,IPE,18:54,UP,7
409,718,MKPR,18:50,KKDA UP,19:27,UP,37
391,704,IPE,18:54,PBGW UP,19:54,UP,60
362,722,PBGW UP,18:54,MKPR,19:09,UP,15
395,708,KKDA UP,18:57,IPE,19:04,UP,7
414,720,MKPR,19:00,KKDA UP,19:37,UP,37
396,708,IPE,19:04,PBGW UP,20:04,UP,60
367,724,PBGW UP,19:04,MKPR,19:19,UP,15
400,714,KKDA UP,19:07,IPE,19:14,UP,7
419,722,MKPR,19:10,KKDA UP,19:47,UP,37
372,706,PBGW UP,19:14,MKPR,19:29,UP,15
401,714,IPE,19:14,PBGW UP,20:14,UP,60
405,716,KKDA UP,19:17,IPE,19:24,UP,7
424,724,MKPR,19:20,KKDA UP,19:57,UP,37
406,716,IPE,19:24,PBGW UP,20:24,UP,60
377,702,PBGW UP,19:24,MKPR,19:39,UP,15
410,718,KKDA UP,19:27,IPE,19:34,UP,7
429,706,MKPR,19:30,KKDA UP,20:07,UP,37
382,710,PBGW UP,19:34,MKPR,19:49,UP,15
411,718,IPE,19:34,PBGW UP,20:34,UP,60
415,720,KKDA UP,19:37,IPE,19:44,UP,7
434,702,MKPR,19:40,KKDA UP,20:17,UP,37
387,712,PBGW UP,19:44,MKPR,19:59,UP,15
