,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
243,724,PBGW UP,17:04,KKDA UP,17:57,UP,53,no,No StepBack,No StepBack,546,560
338,711,KKDA DN,17:06,PBGW DN,17:59,DN,53,no,No StepBack,No StepBack,548,579
60,714,KKDA UP,17:07,PBGW UP,18:14,UP,67,no,No StepBack,No StepBack,549,553
157,707,PBGW DN,17:09,KKDA DN,18:15,DN,66,no,No StepBack,No StepBack,551,599
244,706,PBGW UP,17:14,KKDA UP,18:07,UP,53,no,No StepBack,No StepBack,554,568
339,703,KKDA DN,17:15,PBGW DN,18:08,DN,53,no,No StepBack,No StepBack,555,585
61,716,KKDA UP,17:17,PBGW UP,18:24,UP,67,no,No StepBack,No StepBack,557,562
158,717,PBGW DN,17:19,KKDA DN,18:25,DN,66,no,No StepBack,No StepBack,559,607
245,702,PBGW UP,17:24,KKDA UP,18:17,UP,53,no,No StepBack,No StepBack,561,576
340,713,KKDA DN,17:25,PBGW DN,18:18,DN,53,no,No StepBack,No StepBack,564,593
62,718,KKDA UP,17:27,PBGW UP,18:34,UP,67,no,No StepBack,No StepBack,565,569
246,710,PBGW UP,17:34,KKDA UP,18:27,UP,53,no,No StepBack,No StepBack,570,584
341,719,KKDA DN,17:35,PBGW DN,18:28,DN,53,no,No StepBack,No StepBack,571,601
63,720,KKDA UP,17:37,PBGW UP,18:44,UP,67,no,No StepBack,No StepBack,573,578
159,701,PBGW DN,17:39,KKDA DN,18:45,DN,66,no,No StepBack,No StepBack,575,623
247,712,PBGW UP,17:44,KKDA UP,18:37,UP,53,no,No StepBack,No StepBack,577,592
342,721,KKDA DN,17:45,PBGW DN,18:38,DN,53,no,No StepBack,No StepBack,580,609
64,722,KKDA UP,17:47,PBGW UP,18:54,UP,67,no,No StepBack,No StepBack,581,586
160,709,PBGW DN,17:49,KKDA DN,18:55,DN,66,no,No StepBack,No StepBack,583,631
343,715,KKDA DN,17:55,PBGW DN,18:48,DN,53,no,No StepBack,No StepBack,588,617
65,724,KKDA UP,17:57,PBGW UP,19:04,UP,67,no,No StepBack,No StepBack,589,594
161,711,PBGW DN,17:59,KKDA DN,19:05,DN,66,no,No StepBack,No StepBack,591,638
248,708,PBGW UP,18:04,KKDA UP,18:57,UP,53,no,No StepBack,No StepBack,595,608
344,723,KKDA DN,18:05,PBGW DN,18:58,DN,53,no,No StepBack,No StepBack,596,625
66,706,KKDA UP,18:07,PBGW UP,19:14,UP,67,no,No StepBack,No StepBack,597,603
162,703,PBGW DN,18:08,KKDA DN,19:14,DN,66,no,No StepBack,No StepBack,598,646
249,714,PBGW UP,18:14,KKDA UP,19:07,UP,53,no,No StepBack,No StepBack,602,616
345,707,KKDA DN,18:15,PBGW DN,19:08,DN,53,no,No StepBack,No StepBack,604,633
67,702,KKDA UP,18:17,PBGW UP,19:24,UP,67,no,No StepBack,No StepBack,605,611
163,713,PBGW DN,18:18,KKDA DN,19:24,DN,66,no,No StepBack,No StepBack,606,654
250,716,PBGW UP,18:24,KKDA UP,19:17,UP,53,no,No StepBack,No StepBack,610,624
346,717,KKDA DN,18:25,PBGW DN,19:18,DN,53,no,No StepBack,No StepBack,612,641
68,710,KKDA UP,18:27,PBGW UP,19:34,UP,67,no,No StepBack,No StepBack,613,618
164,719,PBGW DN,18:28,KKDA DN,19:34,DN,66,no,No StepBack,No StepBack,614,662
251,718,PBGW UP,18:34,KKDA UP,19:27,UP,53,no,No StepBack,No StepBack,619,632
69,712,KKDA UP,18:37,PBGW UP,19:44,UP,67,no,No StepBack,No StepBack,621,626
165,721,PBGW DN,18:38,KKDA DN,19:44,DN,66,no,No StepBack,No StepBack,622,669
252,720,PBGW UP,18:44,KKDA UP,19:37,UP,53,no,No StepBack,No StepBack,627,640
347,701,KKDA DN,18:45,PBGW DN,19:38,DN,53,no,No StepBack,No StepBack,628,657
166,715,PBGW DN,18:48,KKDA DN,19:54,DN,66,no,No StepBack,No StepBack,630,677
253,722,PBGW UP,18:54,KKDA UP,19:47,UP,53,no,No StepBack,No StepBack,635,648
348,709,KKDA DN,18:55,PBGW DN,19:48,DN,53,no,No StepBack,No StepBack,636,665
70,708,KKDA UP,18:57,PBGW UP,20:04,UP,67,no,No StepBack,No StepBack,637,642
167,723,PBGW DN,18:58,KKDA DN,20:04,DN,66,no,No StepBack,No StepBack,639,685
254,724,PBGW UP,19:04,KKDA UP,19:57,UP,53,no,No StepBack,No StepBack,643,656
349,711,KKDA DN,19:05,PBGW DN,19:58,DN,53,no,No StepBack,No StepBack,644,673
71,714,KKDA UP,19:07,PBGW UP,20:14,UP,67,no,No StepBack,No StepBack,645,651
168,707,PBGW DN,19:08,KKDA DN,20:14,DN,66,no,No StepBack,No StepBack,647,695
350,703,KKDA DN,19:14,PBGW DN,20:07,DN,53,no,No StepBack,No StepBack,650,681
255,706,PBGW UP,19:14,KKDA UP,20:07,UP,53,no,No StepBack,No StepBack,652,664
72,716,KKDA UP,19:17,PBGW UP,20:24,UP,67,no,No StepBack,No StepBack,653,659
